exp,tx,replicate,time_min,isc_uA_per_cm2
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.48333333,-0.057983398
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.56666667,-0.042724609
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.65,-0.085449219
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.73333333,-0.015258789
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.81666667,-0.082397461
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.9,0.003051758
exp19-35,ctrl25_10uM_vx770_vx809,r1,12.98333333,-0.006103515
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.06666667,-0.167846679
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.15,-0.042724609
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.23333333,-0.140380859
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.31666667,-0.082397461
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.4,-0.149536133
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.48333333,-0.137329101
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.56666667,-0.167846679
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.65,-0.109863281
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.73333333,0.192260742
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.81666667,0.021362305
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.9,-0.070190429
exp19-35,ctrl25_10uM_vx770_vx809,r1,13.98333333,-0.012207031
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.06666667,-0.164794922
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.15,-0.073242187
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.23333333,-0.024414062
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.31666667,-0.067138672
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.4,-0.076293945
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.48333333,-0.073242187
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.56666667,-0.039672851
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.65,-0.09765625
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.73333333,-0.100708008
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.81666667,-0.122070312
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.9,0.006103516
exp19-35,ctrl25_10uM_vx770_vx809,r1,14.98333333,0.012207031
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.06666667,-0.106811523
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.15,-0.064086914
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.23333333,-0.021362305
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.31666667,-0.05493164
exp19-35,ctrl25_10uM_vx770_vx809,r1,15.4,0.177001953
